id,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng
1,19,PJ Fresh (224 Daniel Payne Drive),,,"Burgers, American, Sandwiches",$,"224 Daniel Payne Drive, Birmingham, AL, 35207",35207,33.5623653,-86.8307025
2,9,J' ti`'z Smoothie-N-Coffee Bar,,,"Coffee and Tea, Breakfast and Brunch, Bubble Tea",,"1521 Pinson Valley Parkway, Birmingham, AL, 35217",35217,33.58364,-86.77333
3,6,Philly Fresh Cheesesteaks (541-B Graymont Ave),,,"American, Cheesesteak, Sandwiches, Alcohol",$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.5098,-86.85464
4,17,Papa Murphy's (1580 Montgomery Highway),,,Pizza,$,"1580 Montgomery Highway, Hoover, AL, 35226",35226,33.4044388,-86.8066142
5,162,Nelson Brothers Cafe (17th St N),4.7,22,"Breakfast and Brunch, Burgers, Sandwiches",,"314 17th St N, Birmingham, AL, 35203",35203,33.51473,-86.8117
6,75,Ocean Restaurant,,,"Seafood, Sushi, Steak",$$,"1218 20th Street South, Birmingham, AL, 35205",35205,33.49863,-86.79574
7,27,Jinsei Sushi,4.7,63,"Sushi, Asian, Japanese",$,"1830 29th Ave S, Birmingham, AL, 35209",35209,33.48044,-86.79044
8,26,Little India,,,"Vegetarian, Asian, Asian Fusion, Chinese, Indian, Healthy",$,"2236 Highland Ave, Birmingham, AL, 35205",35205,33.5022592,-86.7902983
9,136,Captain D's (1284 Decatur Hwy),,,"Seafood, Fast Food, Fish and Chips, American",$,"1284 Decatur Hwy, Gardendale, AL, 35071",35071,33.6571,-86.81197
10,51,Cajun Bistro Express,,,"Desserts, Vegetarian, Coffee and Tea",$,"1515 Pearson Ave SW, Birmingham, AL, 35211",35211,33.48684,-86.8563
11,159,The Ice Cream Shop ,,,"Desserts, Ice Cream + Frozen Yogurt",$,"26600 Highway 31, Jamison, AL, 35085",35085,33.5207,-86.8025
12,194, The Ice Cream Shop,,,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",$,"4414 4th Ave 5, Birmingham, AL, 35222",35222,33.52642,-86.76615
13,116,Bunrise Burgers,,,"Burgers, Fast Food, American, Comfort Food, Diner, Chicken",,"1100 Forestdale Boulevard, Birmingham, AL, 35214",35214,33.55741,-86.8903
14,51,Panera (521 Fieldstown Road),4.6,44,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken",$,"521 Fieldstown Road, Gardendale, AL, 35071",35071,33.6514066,-86.8192467
15,139,The Imperial Indian,,,"Indian, Vegetarian, Pakistani, Chicken, Indian Curry",,"1024 20th Street South Unit 101, Birmingham, AL, 35205",35205,33.5009,-86.7969
